NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-883156548718e7,42124330,220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,43,0.14285715,-0.50098449,1,1,1,0,0,1,-1.9285166,0.0012477938606394218,1.1786773172033752e-4,0.4304423245601423
-881239379329e7,80117361,392,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.49224,100,50,0,-0.26883677,1,1,1,1,0,0,-1.2395151,0.0012477938606394218,1.1786773172033752e-4,0.15253512812357742
-881239379329e7,80117724,404,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7.426549,100,50,0,-0.26883677,1,1,1,1,0,0,-1.2910297,0.0012477938606394218,1.1786773172033752e-4,0.14293799603524174
-881239379329e7,80119564,461,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6.4457197,100,50,0,-0.26883677,1,1,1,1,0,0,-1.2343493,0.0012477938606394218,1.1786773172033752e-4,0.23460724904209898
-878266671665e7,80117473,396,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5120711,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.21737609849202907
-877023075231e7,42123800,198,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.779922,100,39,1,-0.52584499,0,1,1,0,1,0,-1.211659,0.0012477938606394218,1.1786773172033752e-4,0.3075565662902484
-877023075231e7,42123799,198,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.478735,100,39,1,-0.21827805,0,1,1,0,1,0,-1.2152202,0.0012477938606394218,1.1786773172033752e-4,0.30472292201768036
-876895022992e7,80119445,456,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2344108,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.14852614054163552
-876633930991e7,42126589,275,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0864105,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.2919571434590104
-876589106885e7,42126066,265,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6.8977051,100,63,0,-0.26883677,1,0,1,1,0,1,-1.0257576,0.0012477938606394218,1.1786773172033752e-4,0.3932077596640914
