nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,oc,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_promise
-4.35095534454e+18,42123664,0,0,0,1,0,0,0,1,0,0,250,100,63,1,2,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,-16.014393,0,
5.70381209058e+18,80118019,0,0,0,0,0,0,0,0,0,1,5750,70,47,1,1,.2857143,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,-428.37918,0,
9.34013220583e+17,10463626,0,0,1,0,0,0,0,0,0,0,4130,90,27,2,2,.2857143,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,-208.0381,0,
-8.19504271462e+18,3591920,0,0,0,1,0,1,0,0,0,0,2800,100,41,2,2,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,-67.371834,0,
-1.03267703674e+17,42122454,0,0,0,0,1,0,0,1,0,0,500,100,47,1,1,.14285715,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,-84.545876,0,
-9.10323975224e+18,10463800,0,0,0,0,0,0,0,0,0,0,2970,100,39,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,1,1
-6.98411831071e+18,78133902,0,0,0,1,0,0,0,0,1,0,1710,100,40,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,,1,0
-8.31457653967e+18,10462074,1,0,0,0,0,0,0,0,0,0,3460,100,51,1,1,.42857143,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,,1,0
6.44479731687e+18,5514396,0,0,0,1,0,0,1,0,0,0,400,90,24,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,-72.958153,0,
-6.79660797731e+18,80117882,0,0,0,0,0,0,0,0,0,1,1110,70,42,1,2,.2857143,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,-55.982292,0,
-4.43296066576e+18,80117308,0,0,0,0,0,0,0,0,0,1,2040,100,59,1,2,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,-71.913612,0,
-2.40614703319e+18,80117105,0,0,0,0,1,0,0,0,0,1,600,100,29,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,,1,0
-2.12713985403e+18,10464069,0,0,0,0,0,0,0,0,0,0,1420,100,32,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,-37.256775,0,
7.15034679268e+17,10463949,0,0,0,0,0,0,0,0,0,0,3360,80,47,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,,1,1
8.14381816568e+18,78134595,0,0,0,0,0,0,0,0,1,0,1190,80,57,1,1,.42857143,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,,1,1
2.73057763251e+18,78134304,0,0,1,0,0,0,0,0,1,0,2900,100,61,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-115.95654,0,
-8.57470562055e+17,5522753,0,0,0,0,1,0,1,0,0,0,5000,100,48,1,2,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,-375.29288,0,
5.97229338087e+17,78132864,0,0,1,0,0,0,0,0,1,0,100,100,47,1,1,.14285715,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,-42.049786,0,
-8.72718870260e+18,3595416,0,0,1,0,0,1,0,0,0,0,4430,100,37,1,1,.2857143,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,-126.16107,0,
2.07662632784e+18,42123818,0,0,1,0,0,0,0,1,0,0,2690,95,45,1,1,.71428573,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,-116.16648,0,
-7.63785527751e+18,80117688,0,0,0,0,0,0,0,0,0,1,980,100,39,1,1,.5714286,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,,1,0
-4.35138971060e+18,10463756,0,0,0,0,1,0,0,0,0,0,1130,100,53,2,2,.14285715,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,,1,1
8.29430968703e+18,78136428,0,0,0,0,0,0,0,0,1,0,1530,90,58,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,-45.658733,0,
-4.87979821098e+18,80117701,0,0,0,0,0,0,0,0,0,1,970,50,20,1,1,.14285715,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,,1,0
5.34757396110e+18,42124927,1,0,0,0,0,0,0,1,0,0,1320,100,52,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,-80.74781,0,
-7.50982312460e+18,80117216,0,0,1,0,0,0,0,0,0,1,400,50,57,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-42.106087,0,
3.00001129939e+18,5524161,0,0,0,0,0,0,1,0,0,0,4130,100,34,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,,1,1
5.23121674903e+18,10462566,0,0,1,0,0,0,0,0,0,0,5090,50,62,1,1,.14285715,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,1,1
-8.94540556633e+18,3594094,0,0,0,1,0,1,0,0,0,0,2800,90,35,1,1,.2857143,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,-52.288525,0,
-8.87874720489e+18,42124998,1,0,0,0,0,0,0,1,0,0,1830,90,39,2,2,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,-65.990593,0,
6.75832085504e+17,10463934,0,0,0,0,1,0,0,0,0,0,1680,100,55,2,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,-158.46335,0,
