NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_4,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.26200578,1,1,1,1,0,0,5940.4712,501.2502491072942,124698.32468910192,0.550917204345571
-918733416171e7,78134840,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7.1467724,100,43,0,-0.26200578,1,1,1,1,0,1,2287.6619,-28.461663219303976,1013.6970491631207,0.6753254364491068
-917722071823e7,5524248,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.9469762,100,43,0,-0.38128665,1,1,0,1,1,1,1372.4333,-34.718905053802786,1657.5791562888178,NA
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.26200578,1,1,1,1,0,0,7185.7144,480.4042407541035,34261.65816551987,0.4222203611649984
-916988485595e7,80116767,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.8671055,100,43,0,-0.26200578,1,1,1,1,0,1,3902.3423,-70.59787248102279,13307.735467437338,0.8238909697821856
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.0709057,100,43,0,-0.26200578,1,1,1,1,0,0,5694.0679,123.96116993849272,52381.563994469216,0.28156221911667284
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3138523,80,54,0,0.6692791,1,1,1,1,0,0,7223.5503,173.6724581857508,17804.151910533168,0.6162508313523805
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21524,100,48,0,-0.19400316,1,1,1,1,1,0,2411.7019,-37.317738500014,5838.549702330356,0.5506728237257321
-916287647658e7,80118452,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.673223,100,43,0.14285715,0.00230808,1,1,1,1,0,1,3809.1545,-8.561315047350767,10935.90832820972,0.6337827235363177
-916242845313e7,80117937,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5030947,100,35,0,0.87375742,1,0,0,0,0,1,5922.689,74.37817983612035,172752.98638556717,0.30531022816436115
