NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-4.0385417838599997e+018,80119319,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2148.8357,-580.406018386838,93395.38114447065,0.29835960148956
-403034149543e7,3595801,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8011.7568,219.78231372253597,39535.449338965234,0
-403034149543e7,3595802,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10527.701,191.5237469333344,116757.42535745815,0
-4.0203698126200003e+018,10462065,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8869.6689,560.8372130745979,268942.5569271667,0.4621339431974595
-4.0203698126200003e+018,10462063,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12787.11,451.1456705174157,223271.747438063,0.4618340614982501
-4.0203698126200003e+018,10462064,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8426.1973,538.5587655038289,298499.97679465846,0.4639247262150589
-401960345913e7,3591937,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450.6436,55.602083907239404,78908.26923621804,5.925682894724378e-4
-401960345913e7,3591936,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427.9873,94.56875578043068,65574.62366614306,5.185567025440356e-4
-401763822609e7,42125653,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7156.6484,-812.7540302638147,270445.5664313002,0.8397161186131774
-401514674261e7,3594453,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5371.4287,210.81532283893424,175942.48700398335,0
-400572043035e7,78133924,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1068.0756,-129.1944280423485,137552.7443703963,0.6139922754456121
-400572043035e7,78134061,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1486.7196,120.22287982501655,154953.71736252756,0.45566821920832923
-4.0034318198200003e+018,10462043,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1671.4286,-837.3933186005293,213701.91004192122,0.3159335803165123
-39953650994e8,78133111,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9238.3389,54.83481927042087,54330.241921979024,0.8250881538984732
-3.9932633413400003e+018,3594456,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.28572,139.73165772415953,69911.71267007667,0
-3.9849250085799997e+018,10462506,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,556.73315,-459.40826603199673,242982.24324861856,0.4931667688010836
-3.9849250085799997e+018,10463305,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,530.7514,156.723301340983,118067.58055768893,0.45502202937240344
-397601432535e7,3591948,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738.66162,111.89403195423827,120641.28713249366,5.228822157406452e-4
-394352389673e7,10463953,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2275.9275,983.212558711179,185839.57319428914,0.6806785868746258
-394352389673e7,10463959,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1449.4733,1102.0445092433097,378302.31270985183,0.6746235674254888
-394352389673e7,10463952,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2606.5044,1060.8183477724976,462165.920179807,0.6776580911021436
-394352389673e7,10463958,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1525.7594,1020.9683866918492,438159.2619704021,0.679796866219133
-394352389673e7,10463956,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4780.7217,1040.5723176799243,342351.5997354271,0.6717203519845228
-394352389673e7,10463957,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7565.2227,942.4595263924601,400254.6931760115,0.6783260336284397
-3.9382664569799997e+018,42124521,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11332.503,-203.27151098507736,72653.9775964015,0.0014821965845234243
-392451582205e7,80117046,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5728.5713,582.7318195102357,105374.2025790827,0.7763766165890891
-392200216196e7,78133237,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2042.8441,706.2742073935472,417280.4093644616,0.33100265524058303
-392200216196e7,78133608,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,3604.2854,252.61397377960645,218879.95095130452,0.7826181618497325
-3.9135661788600003e+018,42125023,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3231.6265,199.11469873999562,114293.84871305682,0.2730144956626544
-391069110749e7,80118306,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,714.28571,410.7587717831051,96117.69304130184,0.6669543173721557
-391020146615e7,80119005,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2040.8047,-255.38516446781958,91247.88884286825,0.46479794773170763
-390446835332e7,42125262,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,-358.10565643416385,125139.53902749444,0.244816483121043
-390446835332e7,42125261,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10114.286,-339.7465651236314,119264.22675545832,0.2390717239166705
-390202071081e7,78135008,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.7496,-649.771512491046,144570.73170571477,0.5019836123014884
-3.8992721325799997e+018,80118700,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3671.4285,549.6376860989526,247123.75408001905,0.8378649142016963
-389145566793e7,3594504,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1226.5627,-163.82211221658565,443377.279141312,0.48653740570876197
-389145566793e7,3594505,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,568.33026,-242.43176440998366,725923.6347059577,0.5058140320701687
-389140167673e7,80117533,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8654.9424,-721.6141681915134,185162.70472939813,0.20866312385547525
-388300927512e7,42126540,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,-778.2445109635808,293915.5361209373,0.5095389224118813
-388300927512e7,42126541,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142.8572,-804.9802906335876,265681.6493257355,0.51179485661606
-388300927512e7,42126539,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457.1428,-776.5404377765313,222917.30898374188,0.5122133954402118
-387714943011e7,42125965,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22471.428,-234.92102420204114,340317.63145160815,0.4421685089255434
-387329875667e7,42125394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885.567,-214.72285418725812,53277.43222695196,7.646851499855889e-4
-386872591676e7,42123815,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1864.6937,-135.50566305325665,219720.7618381955,0.2614526278709836
-386872591676e7,42123844,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1387.1583,-1010.3553016943288,126235.99860926597,0.5531965096697441
-386872591676e7,42123845,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1136.3024,-961.8049443537859,137509.31769630453,0.55132060978312
-386545905811e7,42124756,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.4423,-862.3549279202871,277599.50354925357,0.8429358706719048
-385108747467e7,42124350,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5514.2856,-810.7519842638968,298161.88857300725,0.8379158461655073
-384520547164e7,3594104,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571.4286,18.210692834145416,43374.599691252544,5.356553487158971e-4
-3.8428869304999997e+018,42125162,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2871.4285,-384.3376936696181,75790.3417408095,0.15926030605781144
-3.8428869304999997e+018,42125163,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2814.2856,-295.7084986103699,31385.45022867587,0.15164476718902353
-3.8403550584600003e+018,42126020,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998.4539,-807.3546523377714,231435.25073933625,0.5101722211210189
-383405176777e7,80119334,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3628.7446,-149.64918418191732,188689.63547665018,0.19105864043604626
-3.8291816042200003e+018,5520269,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1493.1364,-42.9069397777025,113446.60909571603,7.142710302462238e-4
-382151347363e7,78133167,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1230.9323,381.47828743047694,271443.62206481094,0.4007724543978555
-381738346669e7,42126024,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5445.4873,-719.3316698192714,211638.80650821875,0.5137792037190606
-381738346669e7,42125962,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,988.43243,-103.01091331257035,123262.58422120589,0.6694847387374633
-381738346669e7,42125960,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1152.8909,-93.67141965515155,100876.33821782823,0.6635503638234725
-381738346669e7,42125964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,599.05908,-164.26508408806689,85238.15455457676,0.6625286082352814
-381738346669e7,42125963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,599.05908,-141.3803664789599,91448.3315142593,0.6746844341377055
-381738346669e7,42125961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1226.785,-112.33159448682247,99723.10205727299,0.665727127641688
-3.8131018894599997e+018,42123510,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1940.3518,-776.271384567047,274514.35460265074,0.503287250042575
-3.8131018894599997e+018,42123512,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2595.2241,-821.2278586105657,204157.1747037073,0.5016764942949774
