nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,oc,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_fee
-7.00652423802e+18,42124685,0,0,0,0,1,0,0,1,0,0,510,100,41,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,-.1724018,0,
-1.19189340912e+18,42123623,0,0,1,0,0,0,0,1,0,0,3310,70,50,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,,1,0
-1.12998097714e+18,5520139,0,0,0,0,1,0,1,0,0,0,4530,100,41,1,1,.2857143,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,-.19510217,0,
6.37289680449e+18,78133848,0,1,0,0,0,0,0,0,1,0,1240,100,32,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,-.072664872,0,
-7.23437256517e+18,78134771,0,0,0,0,1,0,0,0,1,0,1200,100,50,2,2,.14285715,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,,1,0
-2.40004152271e+18,42125780,0,0,0,0,1,0,0,1,0,0,3980,100,54,1,1,.2857143,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-.22644332,0,
9.14831730735e+18,80118726,1,0,0,0,0,0,0,0,0,1,890,100,65,2,2,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,-.14605734,0,
-5.09855637711e+18,42125796,0,0,0,0,1,0,0,1,0,0,1560,90,29,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,-.097412936,0,
4.44038386895e+18,80117123,0,0,0,0,0,0,0,0,0,1,2550,100,77,1,1,.14285715,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,,1,0
-1.00905895346e+18,5520174,0,0,0,0,0,0,1,0,0,0,3680,70,47,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,,1,0
