def_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0.14285715,-0.24189927,0,1,10462474,0,-0.018298382864697718,0.005006994572750735
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,-0.18430561,0,1,78136290,0,-0.10091554942006456,0.0016942666959875916
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0.023628585,1,0,80118770,0,-0.13907508459859874,0.0032012609259456865
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,-0.7521683,1,1,3591006,0,-0.13493899738851747,0.0038382062883950334
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.33333334,-0.60011268,1,1,42125660,0,-0.14757164651038793,0.0022305698301346025
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0.14285715,-0.77811903,1,1,78133652,0,-0.11385475343998804,0.004372012130627618
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.14285715,0.095806524,1,0,3592101,0,-0.22958809492232066,0.0033305776205950176
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.4313404,1,0,80118618,1,-0.06412868582976874,0.0029920236500676862
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0.14285715,-0.53275663,1,0,78133294,0,-0.07488410368795007,0.001556366281145785
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,-0.52584499,1,0,78136109,0,-3.0686341487960674e-4,0.004528870056071316
