NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_6,def_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,1,-0.0031459883706678082,0.004898275019443155,0.31000557876197804
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,43,0,-0.253137035,1,1,1,1,0,0,1,0.0473662377550832,0.00274971753801593,0.47799052005774656
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.253137035,1,1,1,1,0,0,0,0.14681472050841893,0.011975297975244836,0.5511789290516759
-918733416171e7,78134840,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7.1467724,100,43,0,-0.253137035,1,1,1,1,0,1,1,-0.012586705096719622,0.003832296187761506,0.6521128955000104
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.253137035,1,1,1,1,0,0,1,0.032032509739678326,0.013860187403859373,0.4149584134909947
-916988485595e7,80116767,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.8671055,100,43,0,-0.253137035,1,1,1,1,0,1,0,0.04525945577162855,0.007857991558824533,0.8168548400424295
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.0709057,100,43,0,-0.253137035,1,1,1,1,0,0,1,0.057389727595646284,0.0048293391940656145,0.29108267637223245
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3138523,80,54,0,0.6692791,1,1,1,1,0,0,1,-0.002176168939707214,0.00328621416496443,0.5966500972469928
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21524,100,48,0,-0.19400316,1,1,1,1,1,0,1,-0.04573628494656151,0.010073671395091821,0.5367629080711324
-916287647658e7,80118452,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.673223,100,43,0.14285715,0.00230808,1,1,1,1,0,1,1,-0.06390863376145281,0.002169919591270628,0.607593385934033
-916242845313e7,80117937,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5030947,100,35,0,0.87375742,1,0,0,0,0,1,0,-0.14850969422684498,0.017865019664962116,0.3047234855014855
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1737862,100,45,0.2857143,-0.66407734,1,1,1,1,0,0,0,0.0737212973291393,0.004332706767311394,0.5768058171653452
-914972513898e7,10463141,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.7579064,100,43,0,-0.253137035,1,1,1,1,0,1,0,0.013647042174668623,0.00873716620426799,0.392414930198742
-914972513898e7,10463140,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.9010072,100,43,0,-0.253137035,1,1,1,1,0,1,0,0.030560018687934662,0.004611070566668866,0.3791265188229011
-914972513898e7,10463142,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.3132205,100,43,0,-0.253137035,1,1,1,1,0,1,0,0.007262935719887162,0.014998674755012178,0.45267157929341073
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.253137035,1,1,1,1,0,0,0,-0.056470719511551054,0.01609289603681514,0.2050110708072692
-914177455903e7,5522659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.779922,100,43,0,-0.253137035,1,1,1,1,0,1,1,0.07240227966196712,0.003866107440086149,NA
-913911686849e7,80118687,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.49224,100,43,0,-0.253137035,1,1,1,1,0,1,1,-0.008703691986695588,0.005119799834718436,0.533518073219274
-913719072709e7,3591005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7037826,100,21,0,-0.6041308,0,1,1,1,0,1,0,0.012700574966089546,0.004061381193912363,NA
-9.1369247177200005e+018,78134822,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.1092477,100,35,0.2857143,-0.58517939,1,1,1,1,0,1,1,0.07023556972050903,0.003949533769078398,0.6651319634185054
-913320573381e7,3586602,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3198647,100,43,0.14285715,-0.18597798,1,1,1,1,1,1,0,-0.05733827366784456,0.006837660700675442,NA
-911886012368e7,5522811,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1228666,100,32,1,-0.20258719,1,1,0,1,0,1,1,0.012311015702048749,0.014673379202563236,NA
-910910706359e7,78134713,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.84588,100,43,0,-0.253137035,1,1,1,1,0,1,1,0.012901480665717276,0.004670550930398424,0.7459930842610099
-910889120573e7,3595873,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,43,0,-0.253137035,1,1,1,1,0,1,1,-0.02027730551519919,0.007386669998163793,0.44677761861223714
-910889120573e7,3595874,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36518,100,43,0,-0.253137035,1,1,1,1,0,1,0,-0.1421193756544313,0.002897278179277832,0.5750724149002073
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,0,-0.03445057483341465,0.012379768154496892,0.1521129366555101
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.635304,100,43,0,-0.253137035,1,1,1,1,0,0,1,-0.1504894069757253,0.0039107319575428495,0.26168054906750876
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.1737862,90,43,0,-0.253137035,1,1,1,1,0,0,1,-0.0577704589899359,0.00716478885620494,0.23590065498848628
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7334018,100,43,0,-0.253137035,1,1,1,1,0,0,1,-0.02774871381812169,0.007050239537491229,0.24982342149973846
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4297194,90,43,0,-0.253137035,1,1,1,1,0,0,1,0.07899479621632202,0.0053016022099246825,0.6634746323000926
-9.0883933711600005e+018,42126055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.6463904,90,43,0,-0.253137035,1,1,1,1,0,1,1,0.09793363776134915,0.002829717794233748,0.5589855009187599
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5496092,100,72,0.14285715,-0.014401549,1,1,0,0,1,0,1,-0.01397286021245085,0.018687839355300984,0.392924451684824
