sum_porcp_c,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
1.2936053,0,40,1,582.41516,1,0.14285715,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522747,1,0.5733096514058208,0.4697294925695982,0.056859981851768916,0.009217276236887376,0.13576294324910956,0.011828301746584701
1.2420943,1,39,0,5460.7524,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10463800,0,0.7917381251399014,0.6323447810601809,0.12881223385945412,0.00644550806072101,0.045259016560282625,0.005116121611064023
0.78564209,0,72,1,3749.3335,0,0.14285715,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117247,1,0.8532957808359638,0.7023681726062184,0.1382550764314229,0.006015924891409883,0.07721420746783893,0.008360757227312356
0,0,60,1,2121.9207,0,0.2857143,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118911,1,0.6462438977658544,0.5938386532662195,0.10797566992222324,0.009137522469354604,0.01597725274463347,0.007557468173562733
0.47878084,1,48,0,1561.5374,1,0.2857143,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132608,0,0.6636094278377415,0.5208287509283445,0.10000257640483712,0.004715564764805409,0.09662485851443228,0.006899382003646695
0.23951773,1,39,1,2649.168,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133307,0,0.6177284796391167,0.5683827532538945,0.07628295190053745,0.0037771398345636965,0.03560890604897823,0.0020240506708920553
0,0,33,1,1497.5591,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595411,1,0.505956388533415,0.6435769684510279,-0.014669938503342866,0.005065666259288228,-0.03365852331933867,0.00286912094754643
0.4738867,1,65,1,3993.5486,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124894,0,0.9322053444618121,0.7226036340188086,0.17243244481795666,0.0074836977572739745,0.07724785386861031,0.003725502747601992
1.236943,1,64,1,13801.41,1,0.14285715,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118783,0,0.9217828511078234,0.6900820842232422,0.2511470343985285,0.003151903299025133,0.08694349635065758,0.006271683514413239
0,0,47,1,473.90659,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514273,1,0.5961188229856046,0.4793303123582209,0.04632905843547491,0.002772227171005674,0.08851912770616911,0.01082089274531304
1.0847554,1,36,1,3336.9346,1,0.2857143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124954,1,0.6670655707416577,0.5488168794630913,0.1292658377566988,0.006559011657191873,0.0612684050209174,0.002460229106540316
0,1,27,1,502.44232,1,0.14285715,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133514,0,0.5867183665221266,0.4746172812913652,0.10424616324591031,0.01095757185542514,0.062159148514094806,0.004767886726750093
