fc_admin_disc,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
2395.6482,0,59,1,3124.6836,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78133050,0,2419.9520742697136,2819.9574801705485,-178.15968362838785,26089.43704759283,-173.7504576351432,6149.971665926639
1959.6448,0,56,1,2852.9641,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133911,0,2174.219040176298,2490.8759208441147,-220.18736833254664,4650.7333570378805,-159.28483915314362,2058.939667260458
3719.2622,1,45,0,2836.9814,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591867,1,2290.731569988815,2392.5689448083526,-85.90511050448991,17693.566519167056,-110.12452113859838,13042.339892422011
2406.5779000000002,1,45,0,1973.9102,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591866,1,1466.7465021261676,1381.4257344154344,-9.445473227157823,3532.6152003421234,-85.14385820751453,3270.5748325947766
1725.9358,1,45,0,1526.3917,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591868,1,1117.8189454691178,1151.3779522436062,-34.327352441691644,1924.8477207339438,-83.75802165502003,2422.9691568071867
774.72284,1,42,1,1366.5637,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117884,1,937.6291099004959,989.2146477335576,-32.462335880187574,1486.623868551446,-52.619263492371985,842.6132631432499
750.58191,0,36,1,1318.6154,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514184,0,944.2551119951465,919.558794206548,3.6410364887324294,869.8240492879328,-41.64339954999126,484.70047543413375
371.42856,0,36,1,807.16577,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514183,0,587.5448202779525,632.3734701241959,3.5421162874677385,1496.355913081243,-29.168011273809153,387.79721578008116
1630.1764,0,24,0,2693.0679,1,0.14285715,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10462474,0,2123.1341479433045,2254.2998435226727,-97.85884249785788,3583.3920119602153,-4.452508010936364,4284.090344633125
3914.1187,0,37,0,2964.8438,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78136290,0,2230.588013899492,2569.059996391885,-165.00038306667767,13285.096245035813,-146.69168980781552,7083.77380927527
3149.1074,0,45,1,3923.8235,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118770,0,3333.5059412183905,3351.432095939268,-19.97503458292798,26523.315745857035,-48.94341254534614,5254.968404818697
1289.6016,0,23,1,339.77362,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3591006,0,413.43083520580655,425.9455147235712,-94.97964059933551,7782.830686086094,-54.66167665467764,1324.158297440772
1385.7142,0,37,1,1043.0168,1,0.33333334,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125660,0,670.7559768089649,775.8919629663143,-117.83499370037401,5798.615182178102,-60.547123828695355,1325.1418512849361
214.28572,0,20,1,215.81406,1,0.14285715,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133652,0,374.1849161596196,415.5635495315235,-65.90696263302094,2390.262219188641,-56.94761505666033,547.0211283644344
2747.061,0,66,1,4268.3291,0,0.14285715,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3592101,0,3481.758401592522,3595.9647986395134,-285.93885800850234,30611.199398509827,-336.97950495572775,6663.474570503516
1142.8572,1,46,1,1831.8936,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118618,1,1414.3559237505758,1420.0771384348552,-75.96851626405245,5332.046827145005,-67.93777214708157,719.4436924225508
979.94214,0,25,1,1350.5928,0,0.14285715,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133294,0,949.9686549574444,975.7401707757145,-67.86518046419519,3016.376010568831,-59.353132839262116,421.6124798671925
1257.1428,0,38,1,1382.5585,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78136109,0,987.5434248579871,1009.8470058180726,1.263253982452511,1000.4164778877639,-34.91693803122127,2347.800935559423
2383.4817,0,60,1,3524.2417,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42124383,0,2688.2814314357033,3098.9284961847306,-336.62149875717535,24031.24833214629,-214.5664983311505,19412.09409831263
3078.6597,0,48,1,4850.7339,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117915,0,3978.241371745588,4309.138575803253,-285.739743080924,22318.52717585475,-189.618157353968,25184.216576969688
4174.9438,0,35,1,5633.9712,1,0.2857143,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594093,1,4767.110437730949,4630.500771411245,-208.32052131299548,11287.387789236644,-156.83631321595175,33163.63184281577
3563.9783,0,35,1,4866.7969,1,0.2857143,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594094,1,3991.9153255112806,4193.476957378254,-200.05022173460023,17082.581271127998,-117.10102413147216,19679.757969008093
772.24329,0,37,1,663.33246,1,0.66666669,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124022,0,529.5662909069007,520.0884962850486,-119.70202767329262,10031.222752187774,-46.02015319290205,2142.7524194444063
728.57141,0,45,1,1206.7357,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134579,0,851.0417692514725,887.1464837483745,-78.5030457119147,2471.5646492910278,-65.01777986733717,805.6119940837231
8602.0908,1,52,0,11195.985,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595323,0,9401.118396025418,10670.173071849644,-1383.016075195603,271407.29684131703,-1243.0211056760797,57701.989719251236
792.28284,0,38,1,1494.4261,1,0.14285715,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124589,0,1048.6617607408778,1074.6248246842474,-15.03300164424679,1217.5466309106353,-87.74207187018443,1448.0124604812152
1425.4407,0,37,1,1798.0994,0,0.14285715,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514473,0,1303.0811246992891,1408.6141219656627,-56.33708821768563,4260.221102347589,-106.18327105813061,652.4178306955514
4551.6909,0,37,1,4882.7798,0,0.14285715,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514472,0,3957.976077561139,4342.716072922961,-175.01261591578785,54527.04744081691,-71.92004028097,32893.24031832348
