NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
358813293855e7,80117369,392,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.4285715,0.010915108556649514,1.9701256702688423e-4,0.3643164248700696
360168839896e7,78134052,318,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6680903,0.008429169017560622,2.6913688951950553e-4,0.7754883789587786
360645331221e7,10463310,510,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-1.4285715,0.009016998128157191,2.1766151698828564e-4,0.45987464516015414
360645331221e7,10463514,521,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1.6474805,0.009016998128157191,2.1766151698828564e-4,0.5279233131555037
360645331221e7,10463752,529,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-1.6217381,0.009376051158699364,1.89989118633997e-4,0.357753348182783
360773913059e7,10463230,506,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.009086230691176913,2.0039030349265516e-4,0.3886304332340807
360773913059e7,10463229,506,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.009086230691176913,2.0039030349265516e-4,0.3886304332340807
360773913059e7,10463231,506,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.009086230691176913,2.0039030349265516e-4,0.3886304332340807
360773913059e7,10463228,506,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.009086230691176913,2.0039030349265516e-4,0.3886304332340807
360843921139e7,42124377,222,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2395167,0.009040239123989775,1.9639871119417037e-4,0.33332875920202515
361384701107e7,42125101,234,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.009040239123989775,1.9639871119417037e-4,0.417708982039697
361780034505e7,78133265,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9173633,0.00889155007505674,2.443368548971325e-4,0.5636685582898149
361780034505e7,78133266,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9173609,0.00889155007505674,2.443368548971325e-4,0.5636685582898149
361780034505e7,78133261,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.917361,0.00889155007505674,2.443368548971325e-4,0.5636685582898149
361780034505e7,78134200,322,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.1870086,0.008580913290281754,2.929190323591874e-4,0.5554786004512032
362212279784e7,10463592,526,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2240689,0.009016998128157191,2.1766151698828564e-4,0.502072391761428
362889906493e7,78133413,309,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.008788203684799939,2.374004488619388e-4,0.4347442025812383
362897349443e7,5522817,104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0128779,0.008917262283679903,2.3894604474250503e-4,0.42511651727596184
362904613605e7,3591932,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2369435,0.009265948343503309,2.081989559285411e-4,0.4439680590232916
362904613605e7,3591931,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8921554,0.009265948343503309,2.081989559285411e-4,0.4439680590232916
362904613605e7,3591933,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2369416,0.009265948343503309,2.081989559285411e-4,0.4439680590232916
364401361027e7,80116004,399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.1604123,0.00909612563344059,2.353729891998425e-4,0.6322477679625305
364516883955e7,10463503,520,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,-1.3332489,0.010841802719419657,1.6596609570715144e-4,0.4346146923977046
365981938793e7,42125984,271,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.009443353318257115,2.0147178031594282e-4,0.7307473048250823
3.6643781829400003e+018,78135052,347,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.008429169017560622,2.6913688951950553e-4,0.7661828227668517
366890513156e7,3591926,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6767081,0.008976342782272863,2.1917916149069225e-4,0.5180836250988246
366890513156e7,3591925,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6767042,0.008976342782272863,2.1917916149069225e-4,0.5180836250988246
366890513156e7,3595824,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.2369413,0.009150475412739825,2.5832327847538715e-4,0.5040434497794696
366901175205e7,80117685,403,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.2292194,0.009129063964008708,2.114140803484924e-4,0.5847109094571609
36787511786e8,78134182,321,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.0566628,0.009623444786950758,1.496864445862654e-4,0.40799601866811475
368227948209e7,78133287,300,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.4909184,0.009075685157650218,1.3633120174072287e-4,0.6420428921344947
368227948209e7,78134633,335,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.5160081,0.00953779540129962,1.2365129889180848e-4,0.47983977375819287
36901535802e8,78134653,336,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1.1519542,0.008548164258453107,3.2451007606562257e-4,0.629413649372173
