eff_cost_loan,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
-1.4285715,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.42857143,2.233088,1,1,42124598,0,0.18389968130968076,0.0018629398157518422
-1.4285715,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-0.49474272,0,0,42126610,0,0.08481539882137193,4.3982711788663036e-4
-1.4285715,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,1.0010368,0,1,10462467,0,0.12685819028427925,0.0030602149172938423
-1.1468,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.3801316,1,0,3591780,1,0.10240517466444887,0.0022667834620098723
-1.1931643,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,-0.43817136,1,1,80118831,0,0.06033337092547354,0.0013102476928982766
-1.6680906,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.41411877,0,1,10463191,0,0.09900633435180232,6.672484227452247e-4
-1.6680882,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.051258817,0,1,10463192,0,0.09348540659124022,0.0015134456728573152
-1.4285715,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.2096566,0,1,42125178,1,0.13799179801565684,0.0014899768189687763
-1.9024583,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.9699344,0,1,42125177,1,0.15714040908811114,0.0021640002479841806
-1.133945,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,-0.23614272,1,1,5514262,1,0.06254045529632613,0.0016254298937155168
-1.4285715,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.5714286,-0.77811903,1,1,3594510,1,0.10986466001772803,0.0015414761927821478
-1.1349227,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0.15436365,1,1,42124516,0,0.08074416682757557,0.001187575912731637
-1.4285715,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-0.56040311,0,1,5521228,0,0.07150611023607306,6.220701562827934e-4
-1.2317998,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,60,0.2857143,-0.60245842,0,0,80118678,0,0.13501786311555983,0.0018737780546663253
-1.1751249,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,60,0,-0.55221301,0,0,80116702,0,0.08688348769094185,0.00145996305714332
-1.4285715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,-0.3944068,0,1,80116972,1,0.06416647840953862,7.22677803632379e-4
-1.7092119,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0.45156324,1,0,80118823,0,0.10314814642665573,0.0017803473486552143
-1.466162,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.2857143,-0.12210101,1,1,5522908,1,0.197919951640482,0.0013181321706618385
-1.8947361,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.2857143,-0.17393814,1,1,5522909,1,0.18585568332013985,0.0015602088984497929
-1.162255,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.04952905,1,1,78132468,1,0.13925191795308264,0.0017911208616036795
-1.2369452,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,27,0,-0.23614272,1,1,78132716,0,0.028789943868160816,2.891617273827819e-4
-1.4285715,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.67444474,1,1,42123803,1,0.07841736931840222,8.441152784168948e-4
