NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
530776487912e7,42124843,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9210714,0.0017955571593962051,0.0010709774123557694,0.1479992385796862
530776487912e7,42124845,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9210714,-0.0026064031612553773,0.0011443134119732408,0.14986455457507883
530859401801e7,10463499,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1.4285715,-0.11617474086319418,0.0016200317284914532,0.3485673784458399
5.3094475657999995e+018,80118090,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.9024656,0.04782059541524447,0.0012291801228809605,0.02146940883402141
530993674219e7,80119468,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1570878,0.03296607073001026,5.760046345515975e-4,0.014366081104914998
530993674219e7,80119469,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1570899,0.02649122844273687,6.955525505068557e-4,0.014676273483426278
531794570254e7,10463088,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.224061,-0.07023582888076332,0.0018964684950906557,0.19083913272236638
5.3209593660400005e+018,3594112,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0376647,0.03771886300146009,8.218181222530736e-4,0.004467280528450896
532837469971e7,5521222,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,0.0012773289639791885,0.0014347666744680613,0.9917386187313825
533008526249e7,10462046,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2317889,-0.07099296419095463,0.0015586549675704723,0.18925609735757354
533008526249e7,10463890,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.26,-0.021783196623255074,0.0017945088283066208,0.37458242346192416
533885155113e7,10463074,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.924845,-0.07610371417020571,0.003889245337472237,0.1737170148471951
534645616258e7,78133132,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4285715,0.07188271055469946,0.004496796895984918,0.2243153611012551
53633687975e8,42125614,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,-0.04677238487006144,0.0021858714917056253,0.4112086604045429
