sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
0.2421111,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.60475916,1,1,5522964,0,0.12088040492300203,0.006538328926037222
0.24209678,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,-0.54601043,1,1,5522963,0,0.08428773277741841,0.00882400337846239
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,-0.20258719,1,1,5522811,0,0.06866229670473295,0.00431028234246143
1.2936053,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.6986354,1,1,5522747,1,0.03790067782580922,0.009147012811102157
1.2420943,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0.35536999,0,0,10463800,0,0.12872292304741584,0.006520118241116741
0.78564209,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,0.14285715,-0.014401549,1,0,80117247,1,0.1254703218459086,0.0075433600818698
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0.2857143,-0.36501375,1,0,80118911,1,0.09164175720012296,0.0044582323284935235
0.47878084,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,-0.48841673,0,1,78132608,0,0.07723999745828822,0.0062877679580500565
0.23951773,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,-0.25342175,1,0,78133307,0,0.05672410099531178,0.004834543864106733
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-0.50223994,1,1,3595411,1,-0.025856746511067348,0.0018333501946751136
0.4738867,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.037535995,1,0,42124894,0,0.15564093648395652,0.002592296401704278
