NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_6,def_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-586571603709e7,5520164,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02742161793124787,0.0016255298612813996,0.9999338142828778
-586571603709e7,5520163,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02888426940426323,0.001477801544317433,0.9993353306765619
-585429955195e7,78134782,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.03673974155211976,0.009004047755074959,0.7940830020208742
-583093004809e7,78131771,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.019028798186367844,0.009259069873058459,0.46864224223080186
-582695389014e7,3586684,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.12164872277816145,0.004731947332821888,0.6990683307399654
-582686212583e7,80117371,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0621737628952911,0.0065645139676141565,0.15612117514691806
-582686212583e7,80119512,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.09498306065257381,0.013846012977028175,0.6523322826515955
-582002536645e7,3595407,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0030531366386342576,0.004815393639909034,1.263902932254803e-4
-58155880529e8,10463163,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0.0020512165577180187,0.0025852910588254558,0.3518075362603362
-58155880529e8,10463221,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,-0.0783510479881218,0.015537524444979186,0.08422130718381625
-58155880529e8,10463410,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,-7.20214269781371e-4,0.013225995411559362,0.6484489091585653
-580876071598e7,5522671,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.023805948762785606,0.0015564505960160057,1
-580819886146e7,78133014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05052771264000887,0.003309469357320592,0.4659770965704027
-580525765576e7,42125437,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.27271138267034495,0.0038620880363248373,0.7895819233308056
-580525765576e7,42125438,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.27537652380683947,0.0074827266291783824,0.7880890663378463
-580162870593e7,78136401,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.02849060633001517,0.0024401202251921024,0.4526927769360329
-578752383013e7,10462894,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.058836876247127454,0.007788444166659978,0.5770696132638564
-578752383013e7,10462893,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.04203908337146174,0.007509280899983017,0.5785581283139686
-578752383013e7,10462927,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.13367467966307392,0.003206486552490932,0.3785244645904601
-5.7806559211599995e+018,5514432,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.009571313580577024,0.0012533454697818138,0
-5.7806559211599995e+018,5514431,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.013033193815810036,0.0028074564096389285,0.0012327509079521248
-578058725477e7,80118907,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06631103469788667,0.004045238829799901,0.32921533637004996
-577768768955e7,3592219,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12741470411974312,0.004109948278712696,0.6982927627226082
-577138303366e7,42125548,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.18855513922953354,0.006567052317679001,0.7674516745755022
-577138303366e7,42125549,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1789817516242424,0.002631676123481929,0.7779326549924638
-576876350918e7,10462667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.02644268190076558,0.00619829148649558,0.5817376983625477
-576858324447e7,3595944,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.04171817786696168,0.008236090717025118,0.49176431625328987
-576546682879e7,78134565,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.04449539915660283,0.008525235342639008,0.7944310608615315
-575619698841e7,78136383,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.14788829226236422,0.008196661846707953,0.7316523768390293
-574139071283e7,80117531,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.027144321919286906,0.007859069672776829,0.2317979973079161
-573619841687e7,3591901,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.011001505179318027,0.007833835055438094,0.524242420038638
-57305749287e8,42125969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055129295562100174,0.008091476872053562,0.6766337519369685
-57305749287e8,42125968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05702877777666437,0.00878091787992376,0.677894007605026
-57305749287e8,42126561,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.08309768612293915,0.002479328307223855,0.23787770538894423
-57305749287e8,42126560,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.08569400658395776,0.0022784941875613352,0.23465460193636914
-572842892574e7,42123716,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23323402568254503,0.007656826362756967,0.5550194967651741
-572638680374e7,3592305,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06054139241042563,0.0037975758978415976,0.9991515512490908
-572116275816e7,3595375,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.04342886549420956,7.913869954066892e-4,1
-569272123248e7,78136259,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.04744328866082757,0.006686839133766308,0.7925813871721938
-568445744357e7,78132538,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06873614105909687,0.0063307222411310505,0.4806340857140585
-568402028367e7,3594426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05487088980464497,0.002629436429876493,0.9996269755745318
-5.6791972966000005e+018,3594092,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0027452255694612802,0.008820759672555347,0.5200300004536097
-567631820914e7,42123707,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.08153455286785707,0.0055326691254820315,0.9796886956228834
-567631820914e7,42123823,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.025208199133126438,0.0045245300074462065,0.4899585169149249
-566904194737e7,78132750,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0040828683368158755,0.014525092462125003,0.7509528965110004
-565419324693e7,10464304,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05766196465367713,0.007418083369707719,0.3198238125467178
-5.6532434073200005e+018,78135041,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.21055972536982948,0.00790331320041124,0.6356954598154461
-56522158896e8,5514275,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.014121366467349567,0.0034851179982935284,8.289539539539539e-4
-56522158896e8,5514274,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.012000427641803679,0.001972364019872396,4.1685371641121016e-4
-564976792141e7,80117022,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.02220301359753013,0.009957162371056011,0.7031919631374902
-564555476208e7,80116979,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.06004490475843221,0.006176470822819757,0.15555091642456995
-564148664954e7,3595843,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0207409361420119,0.0075742515760054115,0.5125602047572696
-563773852184e7,10464303,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05589302558578776,0.008271352522830447,0.31597320996552497
-562971620912e7,10463149,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-0.0723742712012951,0.009616941563805303,0.3974075696882712
-562637701216e7,78134030,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09626285627723073,0.008035089793333871,0.7213193940608884
-562197448861e7,78136001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.09936360528212522,0.012335946178017206,0.7544683609132962
-5621713918e9,78133526,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0012772069307753627,0.009410071193422792,0.6079650332846572
-5621713918e9,78134001,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.08962465351504866,0.005511332457947187,0.6065661762040655
-5621713918e9,78134912,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.10381383821947658,0.014597587142917166,0.6606318671770254
-5.6093903093199995e+018,42124221,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0719889628122476,0.011415887670522236,0.9828428479436364
-5.6093903093199995e+018,42124222,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.07031429835985831,0.00553264643700266,0.9830748243991025
-5.6093903093199995e+018,42124223,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.07561736801216129,0.005520644701135103,0.9837494486901047
-560609791682e7,80119033,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07305169690803319,0.004998287075548409,0.819462787025847
-5.6027082108400005e+018,10463042,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.09142583633848865,0.011456746823989311,0.28411964950463364
-559539740526e7,78134486,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.10666186057670433,0.010740938824671283,0.7535894694820116
-559448710162e7,80118030,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04016923085743693,0.006929391279231373,0.22539894708710756
-559411167503e7,78134023,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07135927720608543,0.0066823086410343156,0.7200668106581615
-559168670136e7,3594122,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11255539077174423,0.00512702889574889,0.7006979663557339
-558867798301e7,80117939,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0.18163027705934356,0.011248317827614878,0.11415694118891863
-558867798301e7,80117938,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0.19386227942733517,0.009067341495994417,0.1158743472981367
-5.5774939399600005e+018,78134980,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.04133242445404937,0.007779445391624677,0.7928211326854097
-556503002646e7,78136387,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1498268958787309,0.007619444843193709,0.733761913956504
-556444372864e7,10463254,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.12094970994925598,0.007687692930183802,0.4349860592428302
-556238217701e7,78136257,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.04011345026088385,0.009290485641789496,0.7930582537348079
-556238217701e7,78135218,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.07935595654163692,0.004500293193607259,0.2630453735831395
-555702767049e7,10462502,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1456240670564453,0.008690938879030769,0.4498953580555646
-554470880408e7,5520196,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0526800976660821,0.0043896017315956295,0.9965004894652999
-554272944098e7,80118787,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,-0.11114528936935188,0.0022596095399457275,0.5926788576939694
-554086236119e7,42124226,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.26277688599601595,0.0024046218579093347,0.7939738459014383
-554086236119e7,42124225,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.26746004688750946,0.00648339536532384,0.7878922127035215
-554086236119e7,42124224,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.26337791359214435,0.003443777040379155,0.7900556006059708
-553910296456e7,42126601,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23085237512058754,0.007070251396828984,0.5591178273248785
-553563507367e7,3595359,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.04434161750256566,0.0015975479698917487,1
-553485809049e7,3594419,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05098849257669489,0.0019502239670365676,0.9996002653290611
-553485809049e7,3595856,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0102334829853818,0.005981088076395931,0.5735047822263887
-553055092958e7,80116990,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.057013061475440566,0.006854960311029401,0.1557192082101792
-553055092958e7,80117845,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.06344208534375516,0.002633281090103976,0.34270115035474813
-552736691694e7,80117149,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04099919578528518,0.006759579518542231,0.22503815955571
-551876888761e7,80116991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.021580171375131813,0.00733982600680194,0.23580862547956008
-551618183446e7,80116760,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.062090912231025835,0.002446992935996095,0.9378511340028889
-551618183446e7,80116759,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.05604996771648649,0.0013141212606613685,0.9359926130481158
-551618183446e7,80117561,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.20437650369214266,0.005952972002415963,0.14765885370978804
-550848587696e7,3594433,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04042053427289308,6.55867110840128e-4,0.9998248365140798
-549999507582e7,10463096,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.2219843436837843,0.01956293133035273,0.1327928177812317
-549999507582e7,10464024,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,-0.05356591557429895,0.008215317327338417,0.7024709500151558
-549852928543e7,78135063,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.20870022158652626,0.006170264392360939,0.6261920296881948
-5.4977786834800005e+018,10462507,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05359050470835745,0.008838653089690597,0.43655387882501107
-5.4977786834800005e+018,10462375,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0.03182947881221928,0.007080773487479165,0.6303954962941584
-5.4977786834800005e+018,10462917,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,-0.041630593330317586,0.017488030340813344,0.5484333600644977
