NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,OC,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,pago_frec_vol_fee,pago_frec_vol_promise,pago_frec_vol
-8.94543945188e+18,80117915,410,1,0,0,0,0,0,0,0,0,0,1,0,2590,100,48,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,,0
-8.94386853742e+18,3594438,17,0,1,0,0,0,0,1,0,0,0,0,0,1650,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.93330962448e+18,3592046,10,1,0,0,0,0,0,1,0,0,0,0,0,1060,100,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.93330962448e+18,3592047,10,1,0,0,0,0,0,1,0,0,0,0,0,610,100,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.93330962448e+18,3592324,16,1,0,0,0,0,0,1,0,0,0,0,0,780,100,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.93172895562e+18,78134579,334,0,0,0,0,0,1,0,0,0,1,0,0,510,100,45,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,,1,1
-8.92322312760e+18,3595323,16,1,0,0,0,0,0,1,0,0,0,0,0,6760,100,52,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,1,,1
-8.91742063315e+18,80117934,411,0,1,0,0,0,0,0,0,0,0,1,0,2300,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.91013129704e+18,5514473,108,0,0,0,0,0,1,0,1,0,0,0,0,880,65,37,1,1,.14285715,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,,0,0
-8.91013129704e+18,5514472,108,0,0,0,0,0,1,0,1,0,0,0,0,2810,65,37,1,1,.14285715,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,,0,0
