nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol
2.24229237633e+18,78134337,0,0,0,1,0,0,0,0,1,0,3360,100,56,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,.063941494,0,
2.25316519631e+18,80118322,0,0,0,0,1,0,0,0,0,1,2670,100,42,1,.14285715,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,.1634887,0,
2.26033801796e+18,5522693,0,0,1,0,0,0,1,0,0,0,730,100,35,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,.15708409,0,
2.26586850159e+18,80118351,0,0,0,0,1,0,0,0,0,1,560,100,22,1,.14285715,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,.094076253,0,
2.31620661443e+18,42125366,1,0,0,0,0,0,0,1,0,0,340,70,65,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,.094914868,0,
2.34249255965e+18,42125105,0,0,1,0,0,0,0,1,0,0,660,100,32,2,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,.059485175,0,
2.34966852607e+18,42123880,0,0,0,0,1,0,0,1,0,0,530,100,28,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,.15465684,0,
2.34966852607e+18,42123879,0,0,0,0,1,0,0,1,0,0,770,100,28,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,.1594951,0,
2.34966852607e+18,42123881,0,0,0,0,1,0,0,1,0,0,460,100,28,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,.17065434,0,
2.36699413518e+18,80117832,0,0,0,1,0,0,0,0,0,1,720,100,29,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,.16509484,0,
2.43149407256e+18,5514225,0,0,1,0,0,0,1,0,0,0,730,50,53,1,.2857143,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,.16932742,0,
