des_c,dias_al_desempenyo,num_p,sum_porcp_c,ref_c,reincidence,t_producto,NombrePignorante,fecha_inicial,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,dummy_choose_same3,dummy_trabajo9,pro_2,pro_3,pro_4,pro_5
1,53,1,1.1390749,0,1,1,-9.18733416171e+18,10/1/2012,1,0,0,0,0,0,0,0,0,1,0,0,5070,,,2,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0
0,,3,.52388972,1,1,4,-9.18733416171e+18,11/20/2012,0,1,0,0,0,0,0,0,0,1,0,0,1270,100,,3,,0,1,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
1,105,1,1.2715981,0,1,3,-9.18733416171e+18,11/30/2012,0,0,0,0,1,0,0,0,0,1,0,0,5150,,,4,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
0,,1,.42813772,1,0,,-9.18538826214e+18,11/30/2012,0,0,0,0,1,0,1,0,0,0,0,0,1670,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,1,.42813593,1,0,,-9.18538826214e+18,11/30/2012,0,0,0,0,1,0,1,0,0,0,0,0,1030,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,2,.32877272,1,0,,-9.18383572955e+18,12/31/2012,1,0,0,0,0,0,1,0,0,0,0,0,660,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,207,6,1.5630982,1,0,,-9.18220075459e+18,11/10/2012,0,0,0,0,0,1,1,0,0,0,0,0,510,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,0,0,0,0,,-9.17783662534e+18,10/11/2012,0,0,0,1,0,0,1,0,0,0,0,0,660,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,107,6,1.216298,1,1,4,-9.17722071823e+18,9/25/2012,0,1,0,0,0,0,0,1,0,0,0,0,1040,100,43,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,,1,
1,91,15,1.165549,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1020,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,91,15,1.1655322,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,620,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
