
="",="(1)",="(2)",="(3)",="(4)"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="717.month",="-0.015",="-0.032",="0.00038",="-0.042"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="718.month",="-0.014",="-0.032",="-0.0035",="-0.041"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="719.month",="-0.026",="-0.049",="-0.017",="-0.060"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="720.month",="-0.021",="-0.024",="-0.011",="-0.034"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="721.month",="-0.013",="-0.036",="-0.0068",="-0.042"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="722.month",="-0.018",="-0.032",="-0.0030",="-0.043"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="723.month",="-0.013",="-0.034",="0.0025",="-0.045"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="724.month",="-0.024",="-0.060",="-0.018",="-0.069"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="pr",="",="0.72",="",="0.50"
="",="",="(0.20)",="",="(0.21)"

="active_past12",="",="",="0.021",=""
="",="",="",="(0.0028)",=""

="visit_past12",="",="",="0.068",="-0.023"
="",="",="",="(0.0012)",="(0.014)"

="_cons",="-0.0013",="0.075",="-0.023",="0.085"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="N",="244312",="244312",="244312",="244312"
="R-sq",="0.411",="0.689",="0.482",="0.689"
="DepVarMean",="0.019",="0.072",="0.030",="0.072"

="Standard errors in parentheses"
