
="",="(0.025)",="(0.067)",="(0.060)",="(0.073)",="(0.061)",="(0.075)",="(63.6)",="(63.7)",="(0.073)",="(0.073)",="(0.074)",="(0.074)",="(0.073)",="(0.073)"

="num_arms_d5",="0.023",="0.25*",="0.10",="0.25*",="0.10",="0.26*",="-4.70",="-15.5",="-0.13",="-0.13",="-0.14",="-0.13",="-0.14",="-0.14"
="",="(0.038)",="(0.14)",="(0.11)",="(0.14)",="(0.11)",="(0.14)",="(46.7)",="(47.4)",="(0.11)",="(0.11)",="(0.11)",="(0.11)",="(0.11)",="(0.11)"

="num_arms_d6",="-0.0044",="0.43",="0.41",="0.41",="0.42",="0.42",="-130.1",="-122.5",="0.19",="0.19",="0.13",="0.14",="0.17",="0.17"
="",="(0.024)",="(0.33)",="(0.30)",="(0.34)",="(0.31)",="(0.33)",="(216.4)",="(216.7)",="(0.18)",="(0.18)",="(0.20)",="(0.20)",="(0.18)",="(0.18)"

="visit_number_d2",="-0.012",="-0.015",="-0.012",="-0.011",="-0.015",="-0.012",="5.70",="9.68",="-0.12**",="-0.12**",="-0.11*",="-0.10*",="-0.12**",="-0.12**"
="",="(0.018)",="(0.046)",="(0.035)",="(0.048)",="(0.035)",="(0.049)",="(48.6)",="(48.5)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.058)"

="visit_number_d3",="-0.095***",="-0.21**",="-0.18***",="-0.22**",="-0.20***",="-0.22**",="175.9***",="184.6***",="-0.036",="-0.035",="-0.0053",="0.0038",="-0.040",="-0.038"
="",="(0.031)",="(0.094)",="(0.065)",="(0.087)",="(0.067)",="(0.095)",="(59.1)",="(59.9)",="(0.13)",="(0.13)",="(0.12)",="(0.12)",="(0.13)",="(0.13)"

="visit_number_d4",="-0.0013",="-0.036",="0.018",="-0.040",="0.021",="-0.031",="292.4***",="310.2***",="0.29**",="0.29**",="0.36**",="0.34**",="0.28*",="0.28*"
="",="(0.033)",="(0.17)",="(0.10)",="(0.17)",="(0.100)",="(0.17)",="(64.0)",="(66.5)",="(0.14)",="(0.14)",="(0.14)",="(0.14)",="(0.14)",="(0.14)"

="visit_number_d5",="0.0096",="-0.14",="-0.16**",="-0.14",="-0.14**",="-0.13",="123.7**",="133.3**",="-0.063",="-0.067",="-0.016",="-0.021",="-0.067",="-0.066"
="",="(0.051)",="(0.084)",="(0.066)",="(0.097)",="(0.065)",="(0.096)",="(61.4)",="(64.9)",="(0.28)",="(0.29)",="(0.26)",="(0.27)",="(0.28)",="(0.28)"

="visit_number_d6",="-0.12***",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0.036)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="visit_number_d7",="-0.057*",="0",="0",="0",="0",="0",="143.9***",="150.6***",="0.56***",="0.56***",="0.59***",="0.56***",="0.59***",="0.59***"
="",="(0.034)",="(.)",="(.)",="(.)",="(.)",="(.)",="(54.8)",="(56.1)",="(0.070)",="(0.074)",="(0.078)",="(0.081)",="(0.070)",="(0.074)"

="masqueprepa",="",="0.044*",="",="0.066**",="",="0.068***",="",="3.53",="",="-0.0034",="",="-0.040",="",="0.00065"
="",="",="(0.024)",="",="(0.025)",="",="(0.024)",="",="(28.6)",="",="(0.032)",="",="(0.031)",="",="(0.032)"

="plan_gasto",="",="-0.0069",="",="-0.014",="",="-0.014",="",="-17.3",="",="0.0038",="",="0.0031",="",="-0.0012"
="",="",="(0.016)",="",="(0.017)",="",="(0.017)",="",="(14.7)",="",="(0.017)",="",="(0.017)",="",="(0.017)"

="pb",="",="0.027",="",="0.044",="",="0.041",="",="35.9",="",="0.0036",="",="-0.0017",="",="0.010"
="",="",="(0.043)",="",="(0.049)",="",="(0.050)",="",="(33.4)",="",="(0.041)",="",="(0.041)",="",="(0.042)"

="pr_prob",="",="",="-0.0014",="-0.00060",="",="",="",="",="",="",="-0.011***",="-0.012***",="",=""
="",="",="",="(0.0013)",="(0.0020)",="",="",="",="",="",="",="(0.0018)",="(0.0018)",="",=""

="OC",="",="",="",="",="-0.13*",="-0.16*",="",="",="",="",="",="",="-0.19**",="-0.19**"
="",="",="",="",="",="(0.070)",="(0.084)",="",="",="",="",="",="",="(0.077)",="(0.078)"

="_cons",="0.16***",="0.21**",="0.096",="0.19",="0.24***",="0.18",="-357.0***",="-344.3***",="0.97***",="0.97***",="1.16***",="1.20***",="0.85***",="0.85***"
="",="(0.047)",="(0.092)",="(0.072)",="(0.12)",="(0.084)",="(0.11)",="(84.9)",="(84.8)",="(0.089)",="(0.093)",="(0.097)",="(0.10)",="(0.092)",="(0.097)"

="N",="2548",="925",="1046",="792",="1024",="778",="1259",="1259",="1259",="1259",="1259",="1259",="1259",="1259"
="R-sq",="0.131",="0.143",="0.130",="0.149",="0.139",="0.162",="0.041",="0.043",="0.050",="0.050",="0.066",="0.068",="0.042",="0.042"
="Dep. Var. Mean",="0.11",="0.15",="0.14",="0.15",="0.14",="0.15",="-327.4",="-327.4",="0.53",="0.53",="0.53",="0.53",="0.53",="0.53"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
