
="",="(1)",="(2)",="(3)"
="",="(0.045)",="(0.065)",="(0.064)"

="180.idsucursal",="0.13",="0.60",="0.57"
="",="(0.045)",="(0.066)",="(0.066)"

="183.idsucursal",="-0.18",="0.30",="0.29"
="",="(0.039)",="(0.067)",="(0.065)"

="185.idsucursal",="0.15",="0.69",="0.67"
="",="(0.046)",="(0.066)",="(0.065)"

="196.idsucursal",="0.096",="0.50",="0.48"
="",="(0.045)",="(0.065)",="(0.064)"

="211.idsucursal",="0.15",="0.55",="0.52"
="",="(0.045)",="(0.069)",="(0.068)"

="212.idsucursal",="-0.31",="0.092",="0.069"
="",="(0.033)",="(0.062)",="(0.060)"

="215.idsucursal",="0.33",="0.53",="0.53"
="",="(0.044)",="(0.060)",="(0.060)"

="222.idsucursal",="0.41",="0.92",="0.90"
="",="(0.042)",="(0.068)",="(0.066)"

="228.idsucursal",="-0.21",="0.16",="0.15"
="",="(0.038)",="(0.064)",="(0.062)"

="253.idsucursal",="-0.19",="0.28",="0.25"
="",="(0.039)",="(0.066)",="(0.064)"

="254.idsucursal",="0.38",="0.81",="0.77"
="",="(0.043)",="(0.065)",="(0.064)"

="255.idsucursal",="0.12",="0.52",="0.49"
="",="(0.045)",="(0.067)",="(0.065)"

="256.idsucursal",="-0.10",="0.28",="0.22"
="",="(0.042)",="(0.063)",="(0.062)"

="257.idsucursal",="-0.10",="0.26",="0.22"
="",="(0.042)",="(0.061)",="(0.061)"

="258.idsucursal",="-6.0e-14",="0.41",="0.40"
="",="(0.044)",="(0.067)",="(0.066)"

="259.idsucursal",="0.49",="0.94",="0.92"
="",="(0.040)",="(0.062)",="(0.061)"

="260.idsucursal",="0.47",="0.91",="0.88"
="",="(0.041)",="(0.067)",="(0.065)"

="264.idsucursal",="0.34",="0.85",="0.84"
="",="(0.044)",="(0.068)",="(0.066)"

="266.idsucursal",="0.26",="0.71",="0.69"
="",="(0.045)",="(0.066)",="(0.065)"

="278.idsucursal",="-0.14",="0.27",="0.26"
="",="(0.041)",="(0.063)",="(0.062)"

="296.idsucursal",="-0.13",="0.34",="0.30"
="",="(0.041)",="(0.067)",="(0.066)"

="312.idsucursal",="-0.27",="0.17",="0.15"
="",="(0.036)",="(0.062)",="(0.060)"

="313.idsucursal",="-0.19",="0.22",="0.21"
="",="(0.039)",="(0.065)",="(0.063)"

="316.idsucursal",="0.0087",="0.40",="0.40"
="",="(0.044)",="(0.067)",="(0.065)"

="317.idsucursal",="0.16",="0.62",="0.55"
="",="(0.045)",="(0.068)",="(0.067)"

="318.idsucursal",="0.15",="0.48",="0.45"
="",="(0.045)",="(0.065)",="(0.064)"

="320.idsucursal",="0.096",="0.50",="0.51"
="",="(0.045)",="(0.066)",="(0.064)"

="326.idsucursal",="0.14",="0.63",="0.61"
="",="(0.045)",="(0.067)",="(0.066)"

="328.idsucursal",="-0.30",="0.14",="0.12"
="",="(0.034)",="(0.062)",="(0.060)"

="333.idsucursal",="-0.25",="0.24",="0.23"
="",="(0.040)",="(0.070)",="(0.069)"

="340.idsucursal",="0.28",="0.77",="0.76"
="",="(0.045)",="(0.070)",="(0.067)"

="341.idsucursal",="0.36",="0.75",="0.75"
="",="(0.043)",="(0.065)",="(0.065)"

="348.idsucursal",="0.27",="0.67",="0.66"
="",="(0.045)",="(0.066)",="(0.065)"

="350.idsucursal",="0.53",="0.87",="0.85"
="",="(0.038)",="(0.060)",="(0.059)"

="353.idsucursal",="0.026",="0.42",="0.40"
="",="(0.044)",="(0.068)",="(0.066)"

="371.idsucursal",="0.47",="0.79",="0.77"
="",="(0.041)",="(0.060)",="(0.059)"

="372.idsucursal",="0.048",="0.40",="0.40"
="",="(0.045)",="(0.065)",="(0.064)"

="378.idsucursal",="-0.20",="0.23",="0.20"
="",="(0.039)",="(0.063)",="(0.061)"

="379.idsucursal",="-0.13",="0.34",="0.34"
="",="(0.041)",="(0.064)",="(0.063)"

="380.idsucursal",="0.47",="0.99",="0.96"
="",="(0.041)",="(0.065)",="(0.064)"

="381.idsucursal",="0.40",="0.80",="0.79"
="",="(0.043)",="(0.062)",="(0.061)"

="383.idsucursal",="-0.30",="0.096",="0.056"
="",="(0.034)",="(0.062)",="(0.061)"

="390.idsucursal",="0.52",="0.92",="0.86"
="",="(0.038)",="(0.063)",="(0.062)"

="392.idsucursal",="0.37",="0.77",="0.73"
="",="(0.043)",="(0.064)",="(0.064)"

="410.idsucursal",="-0.086",="0.27",="0.26"
="",="(0.042)",="(0.064)",="(0.063)"

="411.idsucursal",="0.12",="0.55",="0.55"
="",="(0.045)",="(0.067)",="(0.066)"

="412.idsucursal",="0.30",="0.68",="0.64"
="",="(0.044)",="(0.066)",="(0.065)"

="414.idsucursal",="-0.21",="0.18",="0.16"
="",="(0.038)",="(0.062)",="(0.060)"

="415.idsucursal",="0.38",="0.78",="0.78"
="",="(0.043)",="(0.065)",="(0.063)"

="416.idsucursal",="-0.043",="0.37",="0.33"
="",="(0.043)",="(0.065)",="(0.063)"

="417.idsucursal",="0.0043",="0.40",="0.44"
="",="(0.044)",="(0.064)",="(0.063)"

="431.idsucursal",="0.27",="",=""
="",="(0.16)",="",=""

="460.idsucursal",="0.29",="0.72",="0.74"
="",="(0.045)",="(0.065)",="(0.064)"

="475.idsucursal",="-0.18",="0.36",="0.39"
="",="(0.041)",="(0.068)",="(0.065)"

="477.idsucursal",="-0.26",="0.25",="0.26"
="",="(0.037)",="(0.067)",="(0.065)"

="L.sexo",="",="0.38",=""
="",="",="(0.039)",=""

="L4.sexo",="",="",="0.39"
="",="",="",="(0.041)"

="L.edad",="",="0.018",=""
="",="",="(0.0014)",=""

="L4.edad",="",="",="0.016"
="",="",="",="(0.0015)"

="L.importepercibido",="",="-0.0000097",=""
="",="",="(0.0000016)",=""

="L4.importepercibido",="",="",="-0.0000089"
="",="",="",="(0.0000017)"

="L.num_pawns",="",="0.0013",=""
="",="",="(0.00014)",=""

="L4.num_pawns",="",="",="0.0012"
="",="",="",="(0.00013)"

="L.jewels",="",="0.019",=""
="",="",="(0.034)",=""

="L4.jewels",="",="",="0.11"
="",="",="",="(0.035)"

="L4.rec_p",="",="-0.29",=""
="",="",="(0.036)",=""

="L5.rec_p",="",="-0.17",=""
="",="",="(0.038)",=""

="L6.rec_p",="",="-0.045",=""
="",="",="(0.038)",=""

="L7.rec_p",="",="0.036",=""
="",="",="(0.038)",=""

="L8.rec_p",="",="0.073",="-0.17"
="",="",="(0.037)",="(0.038)"

="L9.rec_p",="",="",="-0.065"
="",="",="",="(0.039)"

="L10.rec_p",="",="",="-0.010"
="",="",="",="(0.039)"

="L11.rec_p",="",="",="0.022"
="",="",="",="(0.039)"

="L12.rec_p",="",="",="0.070"
="",="",="",="(0.038)"

="L.porcvaluacion",="",="-0.024",=""
="",="",="(0.0012)",=""

="L4.porcvaluacion",="",="",="-0.023"
="",="",="",="(0.0013)"

