
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="",="(0.17)",="",="(0.15)",="",="(0.12)",="",="(0.15)",="",="(0.15)",="",="(0.12)",="",="(0.12)",="",="(0.13)",="",="(0.16)"

="dummy_suc6",="",="0",="",="0",="",="0",="",="0",="",="0",="",="0",="",="0",="",="0",="",="0"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="num_arms_d3",="",="0.13",="",="0.13",="",="0.13",="",="0.13",="",="0.18*",="",="0.13",="",="0.13",="",="0.11",="",="0.10"
="",="",="(0.11)",="",="(0.089)",="",="(0.090)",="",="(0.089)",="",="(0.11)",="",="(0.090)",="",="(0.090)",="",="(0.091)",="",="(0.091)"

="num_arms_d4",="",="0.082",="",="0.024",="",="0.031",="",="0.024",="",="-0.074",="",="0.029",="",="0.031",="",="-0.018",="",="-0.022"
="",="",="(0.17)",="",="(0.17)",="",="(0.17)",="",="(0.17)",="",="(0.20)",="",="(0.17)",="",="(0.17)",="",="(0.17)",="",="(0.17)"

="num_arms_d5",="",="-0.13",="",="0.070",="",="0.092",="",="0.070",="",="0.61*",="",="0.086",="",="0.092",="",="0.015",="",="-0.056"
="",="",="(0.37)",="",="(0.32)",="",="(0.31)",="",="(0.32)",="",="(0.36)",="",="(0.31)",="",="(0.31)",="",="(0.30)",="",="(0.30)"

="num_arms_d6",="",="0.69***",="",="0.47",="",="0.43",="",="0.47",="",="0.58*",="",="0.44",="",="0.43",="",="0.44",="",="0.53*"
="",="",="(0.19)",="",="(0.32)",="",="(0.31)",="",="(0.32)",="",="(0.31)",="",="(0.32)",="",="(0.31)",="",="(0.33)",="",="(0.30)"

="x1",="",="",="1.20*",="0.90",="",="",="1.20*",="0.90",="",="",="",="",="",="",="",="",="1.20*",="0.50"
="",="",="",="(0.68)",="(0.65)",="",="",="(0.68)",="(0.65)",="",="",="",="",="",="",="",="",="(0.68)",="(0.67)"

="z1",="",="",="0.35***",="0.33***",="",="",="0.35***",="0.33***",="",="",="",="",="",="",="",="",="0.35***",="0.32***"
="",="",="",="(0.083)",="(0.077)",="",="",="(0.083)",="(0.077)",="",="",="",="",="",="",="",="",="(0.083)",="(0.080)"

="1.t_producto",="",="",="",="",="0",="0",="",="",="",="",="",="",="0",="0",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",=""

="2.t_producto",="",="",="",="",="0.35***",="0.33***",="",="",="",="",="",="",="0.35***",="0.33***",="",="",="",=""
="",="",="",="",="",="(0.083)",="(0.081)",="",="",="",="",="",="",="(0.083)",="(0.081)",="",="",="",=""

="4.t_producto",="",="",="",="",="0.13*",="0.098",="",="",="",="",="",="",="0.13*",="0.098",="",="",="",=""
="",="",="",="",="",="(0.073)",="(0.073)",="",="",="",="",="",="",="(0.073)",="(0.073)",="",="",="",=""

="choice_nonsq",="",="",="",="",="",="",="",="",="0.24***",="0.26***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.083)",="(0.086)",="",="",="",="",="",="",="",=""

="x0",="",="",="",="",="",="",="",="",="",="",="0.24***",="0.26***",="",="",="0.24***",="0.31***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.083)",="(0.084)",="",="",="(0.083)",="(0.085)",="",=""

="z0",="",="",="",="",="",="",="",="",="",="",="0.35***",="0.33***",="",="",="0.35***",="0.39***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.083)",="(0.080)",="",="",="(0.083)",="(0.082)",="",=""

="_cons",="-1.83***",="-2.02***",="-1.83***",="-2.05***",="-1.83***",="-1.96***",="",="",="-1.72***",="-1.95***",="-1.48***",="-1.65***",="-1.83***",="-1.96***",="",="",="",=""
="",="(0.058)",="(0.17)",="(0.058)",="(0.16)",="(0.058)",="(0.13)",="",="",="(0.050)",="(0.16)",="(0.059)",="(0.15)",="(0.058)",="(0.13)",="",="",="",=""

="b0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="",="",="",="",="",="",="-1.83***",="-1.03***",="",="",="",="",="",="",="-1.48***",="-0.27*",="-1.48***",="-0.27"
="",="",="",="",="",="",="",="(0.058)",="(0.16)",="",="",="",="",="",="",="(0.059)",="(0.14)",="(0.059)",="(0.16)"

="b1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.83***",="-0.33*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.058)",="(0.18)"

="tut",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="x0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.24***",="0.31***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.083)",="(0.085)"

="z0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.35***",="0.38***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.083)",="(0.082)"

="dummy_dow1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.06***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.11)"

="dummy_dow2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.01***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.10)"

="dummy_dow3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.16***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.13)"

="dummy_dow4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.01***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.11)"

="dummy_dow5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.10***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.11)"

="dummy_dow6",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.01"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)"

="dummy_suc1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.020"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.11)"

="dummy_suc2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.15"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.14)"

="dummy_suc3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.12"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.13)"

="dummy_suc4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.22*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.13)"

="dummy_suc5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.23*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.13)"

="dummy_suc6",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)"

="num_arms_d3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.11"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.091)"

="num_arms_d4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.017"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.17)"

="num_arms_d5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.015"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.30)"

="num_arms_d6",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.44"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.33)"

="N",="4350",="4350",="6304",="6304",="6304",="6304",="6304",="6304",="4534",="4534",="6304",="6304",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",=".",=".",=".",="0.004",="0.007",="0.012",="",="",="0.004",="0.013",="0.007",="0.012",="0.007",="0.012",="",="",="",=""
="Control Mean",="",="",="",="",="-1.83",="-1.83",="",="-1.83",="",="",="",="",="-1.83",="-1.83",="-1.83",="-1.83",="-1.83",="-1.83"
="ToT",="",="",="",="",="1.20",="0.92",="",="",="",="",="",="",="",="",="",="",="",=""
="ToT se",="",="",="",="",="0.68",="0.68",="",="",="",="",="",="",="",="",="",="",="",=""
="TuT",="",="",="",="",="",="",="",="",="",="",="",="",="0.24",="0.26",="",="",="",=""
="TuT se",="",="",="",="",="",="",="",="",="",="",="",="",="0.083",="0.085",="",="",="",=""
="H_0 : ATE-ToT = 0",="",="",="0.18",="0.36",="",="",="0.18",="0.36",="",="",="",="",="",="",="",="",="0.18",="0.77"
="H_0 : ATE-TuT = 0",="",="",="",="",="",="",="",="",="",="",="0.18",="0.36",="",="",="0.18",="0.33",="0.18",="0.33"
="H_0 : TuT-ToT = 0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.18",="0.78"
="H_0 : TuT-ToT $\geq$ 0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.090",="0.39"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
